step,param,U234,U235,U236,U237,U238,U239,Np236,Np237,Np238,Np239,Pu236,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243,Am244,Am242m,Cm242,Cm243,Cm244,Cm245,Cm246,Cm247,Cm248,Cm249,Bk249,Bk250,Cf249,Cf250,Cf251,Kr83,Rh103,Rh105,Ag109,I135,Xe131,Xe135,Cs133,Cs134,Cs135,Cs137,Ba140,La140,Nd143,Nd145,Pm147,Pm148,Pm149,Pm148m,Sm147,Sm149,Sm150,Sm151,Sm152,Eu153,Eu154,Eu155,Eu156,Gd152,Gd154,Gd155,Gd156,Gd157,Gd160,Lost,Total
10,A,9.19955e+07,3.85733e+06,2.75624e+06,4.81978e+12,1.43502e+07,3.32145e+14,8.60764,635977,2.52507e+11,3.31946e+14,295.877,4.97507e+08,4.73454e+09,1.17005e+09,9.65404e+10,95368.2,7.04211e+09,2.44352e+07,6.10063e+09,84272.6,1.14683e+07,269666,8.76528e+08,23256.1,749898,10.0161,0.100013,2.70932e-08,5.52994e-09,7.19324e-05,2.9948e-06,0,3.06118e-10,9.33991e-20,1.01981e-17,0,0,1.12495e+13,0,4.63667e+13,0,2.34877e+13,0,1.25224e+11,4.39017e+06,6.5078e+11,4.47359e+13,4.48848e+13,0,0,2.19294e+12,9.56452e+11,8.70511e+12,2.98482e+11,4.32068,0,0,8.50263e+09,0,0,4.02099e+09,1.46969e+10,4.86416e+11,1.58798e-08,0,0,0,0,0,0,4.82326e+15
11,A,9.14703e+07,3.80543e+06,3.04199e+06,5.15049e+12,1.43461e+07,3.33892e+14,10.9883,741654,2.96353e+11,3.33691e+14,429.468,6.44059e+08,5.1705e+09,1.40098e+09,1.27183e+11,140802,1.03953e+10,3.59085e+07,8.98465e+09,139348,1.91615e+07,431431,1.42116e+09,42239.6,1.39228e+06,20.7295,0.23108,6.98232e-08,1.59167e-08,0.000208567,9.61684e-06,0,1.09338e-09,3.3677e-19,3.68012e-17,0,0,1.15607e+13,0,4.63691e+13,0,2.34931e+13,0,1.54657e+11,4.88042e+06,7.22653e+11,4.4663e+13,4.48241e+13,0,0,2.41395e+12,1.05733e+12,8.7738e+12,3.32551e+11,5.33489,0,0,8.95672e+09,0,0,4.99065e+09,1.57423e+10,5.17083e+11,2.21769e-08,0,0,0,0,0,0,4.83201e+15
12,A,8.62883e+07,3.31534e+06,5.71079e+06,8.03333e+12,1.43046e+07,3.42048e+14,54.0779,2.10468e+06,8.65989e+11,3.41839e+14,4960,3.63765e+09,8.71018e+09,4.21837e+09,6.90265e+11,1.62557e+06,1.2349e+11,3.91555e+08,9.93312e+10,3.43063e+06,4.83062e+08,7.69982e+06,2.83635e+10,1.80032e+06,7.30357e+07,2212.4,52.6076,3.3475e-05,1.5982e-05,0.216554,0.0196483,2.4419e-13,4.58321e-06,1.50978e-15,1.69231e-13,0,0,1.41594e+13,0,4.58626e+13,0,2.3211e+13,0,5.9801e+11,9.76567e+06,1.43792e+12,4.35672e+13,4.38553e+13,0,0,4.24454e+12,1.90177e+12,9.26977e+12,6.16181e+11,19.8978,0,0,1.15736e+10,0,0,2.09471e+10,2.65303e+10,8.10868e+11,1.55589e-07,0,0,0,0,0,0,4.82085e+15
13,A,8.1225e+07,2.87366e+06,8.06109e+06,1.05133e+13,1.4261e+07,3.57968e+14,135.015,3.90477e+06,1.67354e+12,3.5774e+14,19611.1,1.03732e+10,1.11339e+10,7.46569e+09,1.58102e+12,6.05649e+06,4.82023e+11,1.36001e+09,3.5217e+11,2.04571e+07,2.99842e+09,3.37402e+07,1.36868e+11,1.38979e+07,6.89056e+08,31687.2,1189.06,0.00116739,0.000869065,12.4294,1.62703,2.22663e-11,0.000571378,2.05643e-13,2.39698e-11,0,0,1.63401e+13,0,4.56495e+13,0,2.27748e+13,0,1.27177e+12,1.45737e+07,2.14269e+12,4.28295e+13,4.32471e+13,0,0,5.51403e+12,2.51167e+12,9.69743e+12,8.0904e+11,40.1023,0,0,1.27834e+10,0,0,4.89433e+10,4.12198e+10,1.19098e+12,3.77146e-07,0,0,0,0,0,0,4.83816e+15
14,A,7.62618e+07,2.47395e+06,1.01273e+07,1.28488e+13,1.42154e+07,3.74761e+14,251.89,6.04257e+06,2.70836e+12,3.74512e+14,61205.8,2.22292e+10,1.27846e+10,1.08169e+10,2.61239e+12,1.43751e+07,1.18278e+12,2.97438e+09,7.94176e+11,6.74853e+07,1.03159e+10,8.40633e+07,3.73502e+11,5.33895e+07,3.20855e+09,197270,10546.4,0.014258,0.0146638,221.059,37.0633,5.46016e-10,0.017347,6.67103e-12,8.19982e-10,0,0,1.82742e+13,0,4.55224e+13,0,2.2198e+13,0,2.13417e+12,1.92718e+07,2.8372e+12,4.22374e+13,4.27948e+13,0,0,6.37589e+12,2.98521e+12,1.00751e+13,9.43429e+11,63.2941,0,0,1.35881e+10,0,0,8.85815e+10,6.14468e+10,1.71501e+12,6.17387e-07,0,0,0,0,0,0,4.86437e+15
15,A,7.14299e+07,2.11266e+06,1.19302e+07,1.49133e+13,1.41676e+07,3.92943e+14,401.103,8.40688e+06,3.94168e+12,3.92671e+14,136828,4.04094e+10,1.38863e+10,1.41182e+10,3.65377e+12,2.68888e+07,2.31497e+12,5.08203e+09,1.40907e+12,1.64052e+08,2.61428e+10,1.55296e+08,7.54059e+11,1.39902e+08,1.02212e+10,788357,56317.6,0.098208,0.130756,2076.17,418.046,6.65221e-09,0.244289,1.00536e-10,1.29801e-08,0,0,2.00606e+13,0,4.54426e+13,0,2.1536e+13,0,3.15315e+12,2.38423e+07,3.5215e+12,4.17264e+13,4.24395e+13,0,0,6.94775e+12,3.33344e+12,1.0403e+13,1.02539e+12,87.5808,0,0,1.42209e+10,0,0,1.37919e+11,8.71572e+10,2.40409e+12,8.33757e-07,0,0,0,0,0,0,4.89842e+15
16,A,6.67379e+07,1.78709e+06,1.34883e+07,1.67915e+13,1.41174e+07,4.12263e+14,570.443,1.09075e+07,5.35405e+12,4.11965e+14,277582,6.5729e+10,1.45888e+10,1.72598e+10,4.6333e+12,4.35643e+07,3.85655e+12,7.45517e+09,2.15715e+12,3.26055e+08,5.40424e+10,2.38797e+08,1.26626e+12,2.92536e+08,2.55758e+10,2.37677e+06,218807,0.469951,0.778843,12949.2,3012.39,5.21087e-08,2.11274,9.35174e-10,1.27421e-07,0,0,2.1744e+13,0,4.54059e+13,0,2.08019e+13,0,4.29725e+12,2.82724e+07,4.19587e+12,4.12818e+13,4.21628e+13,0,0,7.30695e+12,3.61353e+12,1.07118e+13,1.07511e+12,111.607,0,0,1.47291e+10,0,0,1.94566e+11,1.17492e+11,3.26707e+12,1.00744e-06,0,0,0,0,0,0,4.93976e+15
17,A,6.21914e+07,1.4958e+06,1.48078e+07,1.8726e+13,1.40648e+07,4.32561e+14,750.512,1.35051e+07,6.96638e+12,4.32233e+14,493024,9.86682e+10,1.49928e+10,2.0189e+10,5.50546e+12,6.4116e+07,5.83289e+12,9.8511e+09,2.99366e+12,5.67351e+08,9.77166e+10,3.25446e+08,1.8834e+12,5.18844e+08,5.42372e+10,5.82975e+06,678418,1.74073,3.51053,61623.9,16114.9,3.00174e-07,13.1473,6.22691e-09,8.88296e-07,0,0,2.33594e+13,0,4.53912e+13,0,2.00393e+13,0,5.54558e+12,3.25584e+07,4.86036e+12,4.08724e+13,4.1937e+13,0,0,7.50301e+12,3.86179e+12,1.10164e+13,1.10724e+12,134.278,0,0,1.51537e+10,0,0,2.55938e+11,1.51354e+11,4.30167e+12,1.13259e-06,0,0,0,0,0,0,4.98681e+15
18,A,5.7823e+07,1.23739e+06,1.58981e+07,2.0603e+13,1.40097e+07,4.53357e+14,942.012,1.61442e+07,8.75529e+12,4.52997e+14,800882,1.3916e+11,1.51769e+10,2.28533e+10,6.24886e+12,8.81694e+07,8.16389e+12,1.20692e+10,3.85578e+12,8.93681e+08,1.60293e+11,4.05317e+08,2.56169e+12,8.21403e+08,1.02054e+11,1.23533e+07,1.78188e+06,5.37969,12.9013,238488,68756.8,1.3742e-06,64.0702,3.234e-08,4.8951e-06,0,0,2.49145e+13,0,4.54062e+13,0,1.92479e+13,0,6.89092e+12,3.67005e+07,5.51515e+12,4.05041e+13,4.1774e+13,0,0,7.58277e+12,4.06118e+12,1.13069e+13,1.11769e+12,155.011,0,0,1.55176e+10,0,0,3.18501e+11,1.87401e+11,5.49389e+12,1.20935e-06,0,0,0,0,0,0,5.0392e+15
19,A,5.36742e+07,1.01075e+06,1.67716e+07,2.21953e+13,1.39519e+07,4.75607e+14,1132.49,1.87256e+07,1.06795e+13,4.75212e+14,1.21074e+06,1.8653e+11,1.52162e+10,2.52223e+10,6.86273e+12,1.15237e+08,1.08089e+13,1.39543e+10,4.7013e+12,1.30612e+09,2.43259e+11,4.73196e+08,3.26174e+12,1.1893e+09,1.74941e+11,2.33568e+07,4.11951e+06,14.3065,40.3922,784222,246346,5.28298e-06,258.602,1.38951e-07,2.21674e-05,0,0,2.64295e+13,0,4.54602e+13,0,1.84713e+13,0,8.30157e+12,4.07077e+07,6.16034e+12,4.01795e+13,4.16803e+13,0,0,7.58109e+12,4.22132e+12,1.15883e+13,1.11342e+12,173.266,0,0,1.5826e+10,0,0,3.80671e+11,2.24197e+11,6.8223e+12,1.24182e-06,0,0,0,0,0,0,5.09903e+15
20,A,4.97201e+07,814651,1.74394e+07,2.36396e+13,1.38914e+07,4.98603e+14,1301.22,2.11867e+07,1.27028e+13,4.9817e+14,1.74788e+06,2.39537e+11,1.51621e+10,2.72945e+10,7.34911e+12,1.4464e+08,1.38419e+13,1.54273e+10,5.47572e+12,1.80662e+09,3.50392e+11,5.24683e+08,3.93755e+12,1.60466e+09,2.79507e+11,4.01788e+07,8.58306e+06,34.0166,111.577,2.26919e+06,767322,1.75561e-05,897.352,5.1169e-07,8.6712e-05,0,0,2.78976e+13,0,4.55532e+13,0,1.77292e+13,0,9.78065e+12,4.45913e+07,6.79621e+12,3.99008e+13,4.16431e+13,0,0,7.52083e+12,4.36096e+12,1.18702e+13,1.1008e+12,188.781,0,0,1.61302e+10,0,0,4.39844e+11,2.61071e+11,8.26203e+12,1.23635e-06,0,0,0,0,0,0,5.16513e+15
21,A,4.5997e+07,647731,1.79078e+07,2.52336e+13,1.38281e+07,5.21547e+14,1458.81,2.35381e+07,1.48123e+13,5.21074e+14,2.45234e+06,2.9662e+11,1.50487e+10,2.90395e+10,7.73538e+12,1.75909e+08,1.6978e+13,1.64614e+10,6.16049e+12,2.38169e+09,4.77632e+11,5.60612e+08,4.56015e+12,2.04229e+09,4.20376e+11,6.44556e+07,1.64354e+07,73.3335,277.525,5.88041e+06,2.12702e+06,5.25575e-05,2750.31,1.67117e-06,0.000299261,0,0,2.93287e+13,0,4.56958e+13,0,1.70456e+13,0,1.13051e+13,4.83713e+07,7.42306e+12,3.96784e+13,4.16914e+13,0,0,7.41546e+12,4.4973e+12,1.216e+13,1.08718e+12,201.53,0,0,1.64308e+10,0,0,4.94859e+11,2.95744e+11,9.76805e+12,1.20168e-06,0,0,0,0,0,0,5.23688e+15
22,A,4.2518e+07,508164,1.81974e+07,2.63747e+13,1.3762e+07,5.44648e+14,1614.92,2.56793e+07,1.68965e+13,5.44135e+14,3.15358e+06,3.55811e+11,1.49266e+10,3.049e+10,8.02324e+12,2.08329e+08,2.03172e+13,1.71062e+10,6.71505e+12,3.0213e+09,6.28213e+11,5.80818e+08,5.09337e+12,2.47418e+09,6.028e+11,9.68895e+07,2.92933e+07,145.582,629.676,1.39478e+07,5.36268e+06,0.000141018,7605.7,4.90748e-06,0.000923934,0,0,3.06853e+13,0,4.58726e+13,0,1.64314e+13,0,1.28507e+13,5.20685e+07,8.04097e+12,3.95051e+13,4.17992e+13,0,0,7.29064e+12,4.58802e+12,1.24226e+13,1.06487e+12,211.438,0,0,1.67328e+10,0,0,5.4497e+11,3.28519e+11,1.12941e+13,1.14717e-06,0,0,0,0,0,0,5.31239e+15
0,ADENS,7.92447e-06,0.0010223,0,0,0.0214369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067402
1,ADENS,7.91575e-06,0.00101955,5.07584e-07,4.72362e-09,0.0214358,4.70652e-09,2.7237e-17,1.32726e-09,5.67918e-13,5.26747e-07,8.42041e-22,2.74531e-13,4.83485e-07,9.00146e-10,3.33592e-12,1.69496e-15,1.40477e-19,5.16638e-16,2.89793e-19,4.27949e-19,5.12157e-24,4.81808e-20,2.14033e-19,6.73525e-24,1.67501e-22,2.41324e-26,2.75074e-30,4.83894e-35,0,0,0,0,0,0,0,1.21147e-08,3.19765e-09,9.72182e-09,1.05053e-09,1.15785e-08,1.23409e-08,8.04799e-09,2.7139e-08,5.33702e-12,6.49244e-08,1.45662e-07,1.27554e-07,1.01277e-08,8.33306e-09,8.59134e-08,7.63967e-09,3.67157e-12,1.2944e-08,3.56774e-12,9.57326e-12,1.12922e-08,1.37518e-09,6.92339e-09,6.70819e-09,2.18286e-09,2.39113e-12,8.75313e-10,3.66376e-10,3.10206e-17,7.4399e-16,8.58648e-13,3.91229e-11,1.35967e-10,1.47275e-11,1.38725e-13,0.0674044
2,ADENS,7.88042e-06,0.00100866,2.52953e-06,1.2152e-08,0.0214312,4.77026e-09,2.34362e-15,2.07686e-08,1.83911e-11,6.89326e-07,1.62679e-19,5.30664e-11,4.35112e-06,3.55185e-08,6.92588e-10,1.80611e-12,1.84138e-16,5.47922e-13,5.08523e-16,2.94067e-15,5.45354e-20,2.5446e-16,2.00293e-15,3.37847e-19,6.37921e-18,4.34258e-21,2.54401e-24,2.3464e-28,1.11304e-31,4.73958e-37,1.60038e-35,0,0,0,0,6.30632e-08,7.2678e-08,1.12249e-08,6.80456e-09,1.15863e-08,2.01382e-07,8.09059e-09,5.23296e-07,6.19698e-10,3.63635e-07,7.28374e-07,3.95485e-07,4.94671e-08,2.66252e-07,4.54982e-07,1.31556e-07,2.04794e-10,1.641e-08,2.7402e-10,9.01981e-10,6.19375e-08,5.20245e-08,4.47252e-08,3.66756e-08,1.82595e-08,1.17983e-10,4.11452e-09,1.61836e-09,3.52115e-16,2.0172e-13,1.80849e-11,1.00255e-09,4.24635e-10,7.91022e-11,6.9945e-13,0.0674138
3,ADENS,7.83636e-06,0.000995198,5.02462e-06,1.5158e-08,0.0214253,4.78991e-09,1.32347e-14,5.64372e-08,5.55925e-11,6.92577e-07,1.64314e-18,3.55208e-10,9.19757e-06,1.50529e-07,6.04347e-09,3.23692e-11,3.41933e-15,9.80577e-12,9.82044e-15,1.12305e-13,2.22148e-18,9.04059e-15,7.9151e-14,2.78346e-17,5.03824e-16,6.85517e-19,8.1468e-22,1.51407e-25,1.45885e-28,6.29398e-34,4.34894e-32,0,3.75475e-34,0,0,1.26136e-07,2.55457e-07,1.1792e-08,1.58827e-08,1.15893e-08,5.28149e-07,8.1129e-09,1.30134e-06,3.42697e-09,7.37875e-07,1.45614e-06,4.94231e-07,6.44687e-08,8.36276e-07,9.13939e-07,3.61605e-07,7.35748e-10,1.6527e-08,1.25356e-09,5.36153e-09,8.01343e-08,1.65104e-07,8.6079e-08,8.04547e-08,3.96463e-08,5.23271e-10,7.63135e-09,2.68752e-09,2.92171e-15,1.86176e-12,5.87317e-11,3.54848e-09,5.25789e-10,1.72344e-10,1.40191e-12,0.0674257
4,ADENS,7.7924e-06,0.000981922,7.4833e-06,1.73662e-08,0.0214195,4.81288e-09,3.46027e-14,9.81587e-08,9.98639e-11,6.95896e-07,6.89001e-18,9.954e-10,1.38459e-05,3.37003e-07,2.05442e-08,1.67722e-10,1.78553e-14,5.0656e-11,5.19461e-14,8.93825e-13,1.80575e-17,6.88784e-14,6.30758e-13,3.40385e-16,6.1214e-15,1.25573e-17,2.26646e-20,6.4368e-24,9.42518e-27,4.10672e-32,4.26895e-30,0,5.56539e-32,0,0,1.88535e-07,5.09253e-07,1.23293e-08,2.69569e-08,1.1589e-08,8.68316e-07,8.12891e-09,2.08644e-06,8.57077e-09,1.11276e-06,2.18307e-06,5.18248e-07,6.8149e-08,1.48593e-06,1.37022e-06,6.04145e-07,1.34683e-09,1.6672e-08,2.62914e-09,1.41665e-08,8.47035e-08,2.92542e-07,1.21668e-07,1.30085e-07,6.21139e-08,1.2163e-09,1.06648e-08,3.50785e-09,1.24624e-14,6.59117e-12,1.08601e-10,7.19201e-09,5.82823e-10,2.79216e-10,2.10591e-12,0.0674375
5,ADENS,7.74888e-06,0.000968819,9.90627e-06,1.95303e-08,0.0214136,4.83575e-09,6.75593e-14,1.45166e-07,1.50121e-10,6.99203e-07,1.81502e-17,2.0228e-09,1.83069e-05,5.86718e-07,4.79407e-08,5.27614e-10,5.70543e-14,1.58929e-10,1.64722e-13,3.83973e-12,7.91124e-17,2.82331e-13,2.66103e-12,1.94085e-15,3.56149e-14,9.74607e-17,2.35808e-19,8.96557e-23,1.76587e-25,7.82844e-31,1.08666e-28,0,1.8987e-30,0,1.5053e-37,2.50279e-07,8.08976e-07,1.28404e-08,3.99182e-08,1.15891e-08,1.20878e-06,8.13787e-09,2.86958e-06,1.60409e-08,1.48796e-06,2.90916e-06,5.23514e-07,6.89865e-08,2.15244e-06,1.82394e-06,8.42299e-07,1.95306e-09,1.68286e-08,4.12856e-09,2.7321e-08,8.63151e-08,4.23822e-07,1.52377e-07,1.84524e-07,8.5767e-08,2.19869e-09,1.33269e-08,4.18886e-09,3.52783e-14,1.59938e-11,1.60597e-10,1.17207e-08,6.31686e-10,3.99072e-10,2.81029e-12,0.0674494
6,ADENS,7.70523e-06,0.000955882,1.22954e-05,2.1777e-08,0.0214077,4.85235e-09,1.13469e-13,1.9752e-07,2.06436e-10,7.01601e-07,3.79752e-17,3.48362e-09,2.25839e-05,8.92537e-07,9.12887e-08,1.26779e-09,1.38357e-13,3.8061e-10,3.97005e-13,1.17299e-11,2.43313e-16,8.27441e-13,7.9727e-12,7.35666e-15,1.37276e-13,4.70983e-16,1.43435e-18,6.90013e-22,1.70393e-24,7.56414e-30,1.30981e-27,0,2.87259e-29,0,2.30464e-36,3.11383e-07,1.13852e-06,1.33336e-08,5.46812e-08,1.15889e-08,1.54798e-06,8.15021e-09,3.65039e-06,2.57925e-08,1.86364e-06,3.6344e-06,5.24077e-07,6.91109e-08,2.81878e-06,2.27511e-06,1.07297e-06,2.53745e-09,1.69861e-08,5.63164e-09,4.46796e-08,8.73753e-08,5.56577e-07,1.78973e-07,2.42884e-07,1.10684e-07,3.46999e-09,1.5685e-08,4.79389e-09,7.81746e-14,3.1673e-11,2.1125e-10,1.70144e-08,6.78378e-10,5.31519e-10,3.51616e-12,0.0674612
